ID_Appel,Date_Appel,Agent,Duree_Traitement_Sec,Statut,Note_Satisfaction,Montant_Facture_EUR,Canal,Sujet,Appel_Traite,Appel_Repris,Conformite,NPS,Reclamation
APP-10000,24/11/2023,Karim Boudiaf,284,Résolu,5.0,35.08,Chat,Panne compteur,Oui,Oui,Conforme,7.0,Non
APP-10001,15/10/2023,Julien Marchand,227,Résolu,4.0,30.15,Téléphone,Souscription contrat,Oui,Non,Conforme,,Non
APP-10002,17/02/2023,Léa Girard,218,Résolu,5.0,10.15,Chat,Panne compteur,,Non,Conforme,,Non
APP-10003,05/07/2023,Yanis Belkacem,218,Résolu,5.0,40.05,telephone,Panne compteur,Oui,Non,Non conforme,7.0,Non
APP-10004,10/12/2023,Fatima Zahra,382,Résolu,5.0,8.76,telephone,Souscription contrat,Oui,Non,Non conforme,,Non
APP-10005,16/06/2023,Marie Lefevre,309,Résolu,4.0,43.89,Chat,Demande d'information,Oui,Non,Non conforme,,Non
APP-10006,13/03/2023,Julien Marchand,197,Non résolu,4.0,14.73,TEL,Résiliation,,Oui,Conforme,,Non
APP-10007,20/03/2023,Sophie Nguyen,288,Résolu,4.0,14.79,Chat,Réclamation,,Non,Conforme,,Non
APP-10008,02/10/2023,Fatima Zahra,261,Résolu,3.0,,TEL,Litige paiement,Oui,Non,Conforme,,Non
APP-10009,17/09/2023,Yanis Belkacem,67,Résolu,,23.98,Téléphone,Déménagement,Oui,Oui,Non conforme,,Non
APP-10010,07/06/2023,Julien Marchand,313,Non résolu,2.0,13.16,Téléphone,Litige paiement,Oui,Oui,Conforme,10.0,Non
APP-10011,07/11/2023,Léa Girard,102,Non résolu,5.0,18.81,Email,Demande d'information,Oui,Non,Conforme,7.0,Non
APP-10012,29/10/2023,Amandine Faure,176,Résolu,5.0,37.05,Téléphone,Demande d'information,Oui,Non,Conforme,7.0,Non
APP-10013,20/10/2023,Yanis Belkacem,47,Non résolu,3.0,15.39,Email,Demande d'information,Oui,Non,Conforme,,Non
APP-10014,20/02/2023,Marie Lefevre,470,Non résolu,3.0,9.72,Email,Souscription contrat,Oui,Non,Conforme,,Non
APP-10015,09/10/2023,Karim Boudiaf,275,Non résolu,,30.48,telephone,Souscription contrat,Oui,Non,Non conforme,,Non
APP-10016,02/01/2023,Léa Girard,185,Résolu,4.0,11.61,Chat,Changement d'offre,Oui,Non,,,Non
APP-10017,10/06/2023,Marie Lefevre,325,Non résolu,4.0,33.32,Chat,Panne compteur,Non,Oui,Conforme,,Non
APP-10018,19/10/2023,Julien Marchand,148,Résolu,5.0,26.32,TEL,Réclamation,Oui,Non,Conforme,9.0,Non
APP-10019,03/06/2023,Nicolas Roux,225,Résolu,4.0,9.27,Téléphone,Panne compteur,Oui,Non,Conforme,8.0,Non
APP-10020,06/05/2023,Thomas Petit,219,Résolu,4.0,32.51,Chat,Facturation,Oui,Non,,5.0,Non
APP-10021,16/05/2023,Karim Boudiaf,275,Résolu,4.0,19.53,TEL,Résiliation,Oui,Non,Conforme,8.0,Non
APP-10022,27/01/2023,Karim Boudiaf,490,Résolu,4.0,14.84,TEL,Souscription contrat,Oui,Non,Conforme,0.0,Non
